"","","","","","","","",""
"","2. Metering Data Map (0x04)","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","2.1 PCS Metering Data","","","","","","스팜 0327","한자연4/4"
"","","","","","","","",""
"Addr","Name","Rang","Default","Unit","Description","","",""
"0","계통 R 상 선간 전압","U16","","0.1V","계통 선간 전압 RMS","","0.8","4023"
"1","계통 S 상 선간 전압","U16","","0.1V","","","0.8","4071"
"2","계통 T 상 선간 전압","U16","","0.1V","","","1","3961"
"3","인버터 R 상 전류","U16","","0.1A","인버터 상 전류 RMS","","0.3","4"
"4","인버터 S 상 전류","U16","","0.1A","","","0.2","4"
"5","인버터 T 상 전류","U16","","0.1A","","","0.3","4"
"6","계통 주파수","U16","","0.1Hz","계통 주파수","","0","600"
"7","AC 유효 전력","S16","","0.1kW","kVA","","0","0"
"8","Reserved","","","","kW","","0","0"
"9","Reserved","","","","kVar","","0","0"
"10","AC 역율","U16","","0.1%","","","69.4","901"
"11","DC Link 전압","U16","","0.1V","DC Link","","0","0"
"12","Battery 전압","U16","","0.1V","Battery 전압 ","","518","-14"
"13","Battery 전류","S16","","0.1A","Battery 충/방전 전류","","65528","0"
"14","Battery 순시 전력","S16","","0.1kW","Battery 충/방전 전력","","65532","0"
"15","AC 충전 적산 전력량(kW)","U16","","0.1kWh","0~999.0 kWh","","47.6","6728"
"16","AC 충전 적산 전력량(MW)","U16","","MWh","0~9999 MWh","","0","5"
"17","AC 방전 적산 전력량(kW)","U16","","0.1kWh","0~999.0 kWh","","45.7","6514"
"18","AC 방전 적산 전력량(MW)","U16","","MWh","0~9999 MWh","","0","5"
"19","DC 충전 적산 전력량(kW)","U16","","0.1kWh","0~999.0 kWh","","44","6884"
"20","DC 충전 적산 전력량(MW)","U16","","MWh","0~9999 MWh","","0","5"
"21","DC 방전 적산 전력량(kW)","U16","","0.1kWh","0~999.0 kWh","","51","6714"
"22","DC 방전 적산 전력량(MW)","U16","","MWh","0~9999 MWh","","0","5"
"23","ALARM1","3. 항목 참조","","","","","10311","8192"
"24","TRIP1","","","","","","1","1"
"25","TRIP2","","","","","","0","0"
"26","STATE1","","","","","","49728","16384"
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","2.2 PCS Metering Data(무정전 & 비상발전 PCS Option)","","","","","","",""
"","","","","","","","",""
"Addr","Name","Rang","Default","Unit","Description","","",""
"50","부하 AC R 상 선간 전압","U16","","0.1V","부하 선간 전압 RMS","","0.6",""
"51","부하 AC S 상 선간 전압","U16","","0.1V","","","0.6",""
"52","부하 AC T 상 선간 전압","U16","","0.1V","","","0.8",""
"53","부하 R 상 전류","U16","","0.1A","부하 상 전류 RMS","","0.4",""
"54","부하 S 상 전류","U16","","0.1A","","","0.6",""
"55","부하 T 상 전류","U16","","0.1A","","","0.6",""
"56","AC 주파수","U16","","0.1Hz","부하 주파수","","0",""
"57","ALARM2","3. 항목 참조","","","독립운전","Not Used","0",""
"58","TRIP3","3. 항목 참조","","","무정전 기능","Not Used","0",""
"59","STATE2","3. 항목 참조","","","Mccb 설치 모델","Not Used","65535",""
"60","부하 유효 전력","S16","","","","Not Used","65535",""
"61","","","","","","","",""
"62","","","","","","","",""
"63","","","","","","","",""
"64","","","","","","","",""
"65","","","","","","","",""
"66","","","","","","","",""
"67","","","","","","","",""
"68","","","","","","","",""
"69","","","","","","","",""
"70","","","","","","","",""
"71","","","","","","","",""
"72","","","","","","","",""
"73","","","","","","","",""
"74","","","","","","","",""
"75","","","","","","","",""
"76","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","2.3 BMS Data","","","","","","",""
"","","","","","","","",""
"Addr","Items","Rang","Default","Unit","Description","","",""
"","","","","","","","",""
"*","BMS data Address 는 고유 Address + 100 번지 부터 할당","","","","","","",""
"*","2.2 항 참조","","","","","","",""
